instant,dateday,season,year,month,hour,holiday,weekday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
107,12/30/2012,1,1,12,12,0,0,0,1,0.28,0.2273,0.36,0.5821,47,97,144
108,1/8/2011,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69
109,2/2/2011,1,0,2,18,0,3,1,1,0.34,0.2879,0.42,0.5522,7,175,182
110,2/2/2011,1,0,2,20,0,3,1,1,0.24,0.197,0.48,0.5522,4,71,75
111,2/8/2011,1,0,2,10,0,2,1,1,0.22,0.1818,0.47,0.5522,4,44,48
112,2/19/2011,1,0,2,21,0,6,0,1,0.32,0.2727,0.26,0.5522,4,29,33
113,2/20/2011,1,0,2,2,0,0,0,1,0.24,0.197,0.41,0.5522,0,17,17
114,2/20/2011,1,0,2,3,0,0,0,1,0.22,0.1818,0.44,0.5522,9,9,18
115,2/20/2011,1,0,2,4,0,0,0,1,0.22,0.1818,0.44,0.5522,0,1,1
116,3/2/2011,1,0,3,22,0,3,1,1,0.3,0.2576,0.26,0.5522,4,44,48
117,4/4/2011,2,0,4,15,0,1,1,1,0.76,0.6667,0.23,0.5522,47,96,143
118,4/4/2011,2,0,4,20,0,1,1,2,0.7,0.6364,0.24,0.5522,40,133,173
119,4/21/2011,2,0,4,5,0,4,1,2,0.42,0.4242,0.54,0.5522,0,14,14
120,8/27/2011,3,0,8,14,0,6,0,3,0.64,0.5758,0.89,0.5522,4,19,23
121,8/27/2011,3,0,8,15,0,6,0,3,0.64,0.5758,0.89,0.5522,2,28,30
122,10/15/2011,4,0,10,12,0,6,0,1,0.58,0.5455,0.35,0.5522,195,261,456
123,10/20/2011,4,0,10,14,0,4,1,2,0.48,0.4697,0.48,0.5522,38,117,155
124,11/11/2011,4,0,11,10,1,5,0,1,0.32,0.2727,0.42,0.5522,38,162,200
125,11/11/2011,4,0,11,13,1,5,0,1,0.38,0.3939,0.37,0.5522,57,179,236
126,12/28/2011,1,0,12,12,0,3,1,1,0.34,0.2879,0.46,0.5522,32,108,140
127,1/13/2012,1,1,1,5,0,5,1,2,0.3,0.2424,0.7,0.5522,0,21,21
128,1/13/2012,1,1,1,14,0,5,1,1,0.26,0.2121,0.33,0.5522,10,119,129
129,1/17/2012,1,1,1,16,0,2,1,1,0.46,0.4545,0.63,0.5522,14,205,219
130,1/27/2012,1,1,1,14,0,5,1,1,0.5,0.4848,0.55,0.5522,23,153,176
131,1/27/2012,1,1,1,16,0,5,1,1,0.44,0.4394,0.51,0.5522,26,241,267
132,1/28/2012,1,1,1,19,0,6,0,2,0.42,0.4242,0.41,0.5522,33,173,206
133,2/11/2012,1,1,2,19,0,6,0,2,0.2,0.1515,0.4,0.5522,2,85,87
134,2/11/2012,1,1,2,20,0,6,0,2,0.16,0.1212,0.43,0.5522,1,62,63
135,2/12/2012,1,1,2,15,0,0,0,1,0.16,0.1212,0.4,0.5522,5,150,155
136,2/25/2012,1,1,2,14,0,6,0,1,0.32,0.2727,0.29,0.5522,35,181,216
137,2/25/2012,1,1,2,20,0,6,0,1,0.26,0.2121,0.3,0.5522,10,95,105
138,3/4/2012,1,1,3,17,0,0,0,1,0.34,0.2879,0.31,0.5522,49,214,263
139,3/8/2012,1,1,3,18,0,4,1,2,0.62,0.6212,0.38,0.5522,45,545,590
140,4/9/2012,2,1,4,14,0,1,1,1,0.56,0.5303,0.28,0.5522,66,152,218
141,4/9/2012,2,1,4,15,0,1,1,1,0.58,0.5455,0.28,0.5522,82,173,255
142,4/27/2012,2,1,4,0,0,5,1,1,0.54,0.5152,0.68,0.5522,12,61,73
143,9/18/2012,3,1,9,8,0,2,1,2,0.66,0.6061,0.83,0.5522,32,640,672
144,10/28/2012,4,1,10,8,0,0,0,2,0.5,0.4848,0.59,0.5522,55,118,173
145,12/21/2012,1,1,12,9,0,5,1,2,0.32,0.2727,0.45,0.5522,2,265,267
146,12/29/2012,1,1,12,20,0,6,0,2,0.3,0.2424,0.56,0.5522,2,64,66
147,1/9/2011,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19
148,1/9/2011,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49
149,1/12/2011,1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,2,135,137
150,1/21/2011,1,0,1,14,0,5,1,1,0.2,0.1515,0.25,0.5224,6,56,62
151,2/2/2011,1,0,2,17,0,3,1,1,0.36,0.3182,0.53,0.5224,7,183,190
152,2/3/2011,1,0,2,1,0,4,1,1,0.2,0.1515,0.44,0.5224,0,5,5
153,2/8/2011,1,0,2,16,0,2,1,1,0.22,0.1818,0.35,0.5224,4,79,83
154,2/12/2011,1,0,2,17,0,6,0,1,0.32,0.2879,0.31,0.5224,24,113,137
155,2/14/2011,1,0,2,21,0,1,1,1,0.36,0.3182,0.5,0.5224,8,35,43
156,2/15/2011,1,0,2,4,0,2,1,1,0.22,0.1818,0.37,0.5224,0,1,1
157,2/19/2011,1,0,2,7,0,6,0,1,0.38,0.3939,0.17,0.5224,6,16,22
158,2/19/2011,1,0,2,20,0,6,0,1,0.32,0.2879,0.28,0.5224,9,38,47
159,3/2/2011,1,0,3,19,0,3,1,1,0.4,0.4091,0.28,0.5224,6,144,150
160,3/2/2011,1,0,3,23,0,3,1,1,0.26,0.2121,0.3,0.5224,0,22,22
161,3/7/2011,1,0,3,4,0,1,1,1,0.2,0.1515,0.8,0.5224,1,0,1
162,4/4/2011,2,0,4,16,0,1,1,1,0.76,0.6515,0.22,0.5224,59,130,189
163,4/5/2011,2,0,4,21,0,2,1,1,0.34,0.2879,0.46,0.5224,8,81,89
164,4/11/2011,2,0,4,15,0,1,1,1,0.74,0.6667,0.48,0.5224,56,85,141
165,4/11/2011,2,0,4,16,0,1,1,1,0.74,0.6667,0.48,0.5224,73,162,235
166,4/11/2011,2,0,4,17,0,1,1,1,0.74,0.6667,0.48,0.5224,100,352,452
167,4/11/2011,2,0,4,20,0,1,1,1,0.68,0.6364,0.57,0.5224,44,122,166
168,4/12/2011,2,0,4,15,0,2,1,2,0.48,0.4697,0.77,0.5224,24,54,78
169,4/16/2011,2,0,4,13,0,6,0,3,0.46,0.4545,0.94,0.5224,9,49,58
170,4/17/2011,2,0,4,15,0,0,0,1,0.54,0.5152,0.32,0.5224,179,209,388
171,5/3/2011,2,0,5,14,0,2,1,2,0.7,0.6515,0.58,0.5224,36,122,158
172,5/4/2011,2,0,5,3,0,3,1,3,0.42,0.4242,0.88,0.5224,0,1,1
173,5/23/2011,2,0,5,14,0,1,1,2,0.72,0.6818,0.62,0.5224,57,130,187
174,6/2/2011,2,0,6,17,0,4,1,1,0.76,0.6515,0.2,0.5224,88,484,572
175,8/19/2011,3,0,8,17,0,5,1,1,0.76,0.7121,0.58,0.5224,85,442,527
176,8/19/2011,3,0,8,18,0,5,1,1,0.76,0.7121,0.58,0.5224,88,337,425
177,8/27/2011,3,0,8,16,0,6,0,3,0.64,0.5758,0.89,0.5224,10,14,24
178,10/20/2011,4,0,10,8,0,4,1,1,0.44,0.4394,0.67,0.5224,17,409,426
179,10/20/2011,4,0,10,11,0,4,1,1,0.48,0.4697,0.55,0.5224,30,99,129
180,10/20/2011,4,0,10,12,0,4,1,1,0.48,0.4697,0.48,0.5224,28,171,199
181,10/27/2011,4,0,10,21,0,4,1,1,0.4,0.4091,0.62,0.5224,13,119,132
182,10/29/2011,4,0,10,13,0,6,0,3,0.24,0.197,0.87,0.5224,0,30,30
183,11/23/2011,4,0,11,18,0,3,1,2,0.4,0.4091,0.58,0.5224,7,138,145
184,12/7/2011,4,0,12,21,0,3,1,3,0.3,0.2576,0.87,0.5224,0,6,6
185,12/23/2011,1,0,12,12,0,5,1,1,0.4,0.4091,0.54,0.5224,14,156,170
186,12/26/2011,1,0,12,10,1,1,0,1,0.34,0.2879,0.42,0.5224,31,39,70
187,1/3/2012,1,1,1,11,0,2,1,1,0.18,0.1364,0.37,0.5224,12,63,75
188,1/3/2012,1,1,1,12,0,2,1,1,0.18,0.1364,0.37,0.5224,4,70,74
189,1/3/2012,1,1,1,14,0,2,1,1,0.16,0.1212,0.43,0.5224,7,72,79
190,1/3/2012,1,1,1,18,0,2,1,1,0.14,0.0909,0.26,0.5224,10,214,224
191,1/13/2012,1,1,1,13,0,5,1,1,0.26,0.2121,0.33,0.5224,14,140,154
192,1/18/2012,1,1,1,4,0,3,1,1,0.34,0.2879,0.46,0.5224,0,1,1
193,1/18/2012,1,1,1,5,0,3,1,1,0.34,0.2879,0.46,0.5224,0,29,29
194,1/18/2012,1,1,1,6,0,3,1,1,0.34,0.2879,0.36,0.5224,0,88,88
195,1/18/2012,1,1,1,15,0,3,1,1,0.3,0.2576,0.33,0.5224,8,122,130
196,1/18/2012,1,1,1,16,0,3,1,1,0.28,0.2273,0.3,0.5224,13,163,176
197,1/27/2012,1,1,1,21,0,5,1,1,0.34,0.2879,0.53,0.5224,8,127,135
198,2/2/2012,1,1,2,19,0,4,1,1,0.38,0.3939,0.43,0.5224,16,311,327
199,2/2/2012,1,1,2,20,0,4,1,1,0.36,0.3182,0.46,0.5224,9,204,213
200,2/12/2012,1,1,2,14,0,0,0,1,0.16,0.1212,0.4,0.5224,9,102,111
201,3/4/2012,1,1,3,15,0,0,0,1,0.36,0.3182,0.32,0.5224,82,252,334
202,3/9/2012,1,1,3,3,0,5,1,1,0.46,0.4545,0.77,0.5224,0,7,7
203,3/9/2012,1,1,3,8,0,5,1,2,0.34,0.2879,0.42,0.5224,17,484,501
204,3/9/2012,1,1,3,9,0,5,1,2,0.34,0.2879,0.42,0.5224,17,267,284
205,3/9/2012,1,1,3,18,0,5,1,1,0.44,0.4394,0.26,0.5224,30,440,470
206,3/26/2012,2,1,3,12,0,1,1,1,0.48,0.4697,0.33,0.5224,63,216,279
207,3/26/2012,2,1,3,20,0,1,1,1,0.4,0.4091,0.26,0.5224,12,209,221
208,3/26/2012,2,1,3,23,0,1,1,1,0.34,0.2879,0.25,0.5224,2,46,48
209,3/27/2012,2,1,3,0,0,2,1,1,0.32,0.2879,0.26,0.5224,1,9,10
210,4/2/2012,2,1,4,10,0,1,1,1,0.4,0.4091,0.5,0.5224,85,119,204
211,4/10/2012,2,1,4,17,0,2,1,1,0.56,0.5303,0.21,0.5224,88,656,744
212,4/22/2012,2,1,4,19,0,0,0,3,0.36,0.3182,0.87,0.5224,1,34,35
213,4/22/2012,2,1,4,22,0,0,0,3,0.34,0.2879,0.87,0.5224,0,13,13
214,5/10/2012,2,1,5,11,0,4,1,1,0.52,0.5,0.48,0.5224,77,179,256
215,5/10/2012,2,1,5,18,0,4,1,1,0.56,0.5303,0.35,0.5224,109,661,770
216,5/29/2012,2,1,5,20,0,2,1,3,0.7,0.6515,0.61,0.5224,36,168,204
217,6/13/2012,2,1,6,8,0,3,1,2,0.62,0.5909,0.73,0.5224,41,672,713
218,6/22/2012,3,1,6,19,0,5,1,2,0.76,0.697,0.55,0.5224,45,317,362
219,6/22/2012,3,1,6,20,0,5,1,2,0.76,0.697,0.55,0.5224,31,171,202
220,8/5/2012,3,1,8,12,0,0,0,1,0.86,0.803,0.47,0.5224,161,330,491
221,8/5/2012,3,1,8,15,0,0,0,1,0.9,0.8182,0.37,0.5224,164,286,450
222,9/8/2012,3,1,9,13,0,6,0,1,0.82,0.7727,0.52,0.5224,233,435,668
223,9/15/2012,3,1,9,5,0,6,0,1,0.58,0.5455,0.6,0.5224,1,15,16
224,10/6/2012,4,1,10,13,0,6,0,2,0.64,0.6212,0.57,0.5224,310,400,710
225,10/6/2012,4,1,10,16,0,6,0,1,0.6,0.6212,0.43,0.5224,317,342,659
226,10/28/2012,4,1,10,17,0,0,0,3,0.46,0.4545,0.77,0.5224,37,188,225
227,11/23/2012,4,1,11,22,0,5,1,1,0.44,0.4394,0.33,0.5224,16,63,79
228,12/22/2012,1,1,12,2,0,6,0,1,0.26,0.2121,0.44,0.5224,0,23,23
229,12/27/2012,1,1,12,10,0,4,1,1,0.28,0.2273,0.56,0.5224,8,67,75
230,12/27/2012,1,1,12,14,0,4,1,2,0.26,0.2121,0.56,0.5224,25,94,119
231,1/8/2011,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95
232,2/2/2011,1,0,2,19,0,3,1,1,0.28,0.2424,0.45,0.4925,3,88,91
233,2/8/2011,1,0,2,8,0,2,1,1,0.24,0.197,0.56,0.4925,7,236,243
234,2/8/2011,1,0,2,9,0,2,1,1,0.24,0.197,0.52,0.4925,7,128,135
235,2/8/2011,1,0,2,12,0,2,1,1,0.24,0.197,0.38,0.4925,2,63,65
236,2/14/2011,1,0,2,14,0,1,1,1,0.6,0.5909,0.15,0.4925,14,76,90
237,2/14/2011,1,0,2,19,0,1,1,1,0.38,0.3939,0.43,0.4925,12,86,98
238,2/14/2011,1,0,2,23,0,1,1,1,0.32,0.2879,0.49,0.4925,1,19,20
239,2/18/2011,1,0,2,21,0,5,1,1,0.58,0.5455,0.21,0.4925,11,61,72
240,2/19/2011,1,0,2,0,0,6,0,1,0.48,0.4697,0.12,0.4925,6,23,29
241,2/19/2011,1,0,2,12,0,6,0,1,0.44,0.4394,0.18,0.4925,38,81,119
242,2/19/2011,1,0,2,22,0,6,0,1,0.3,0.2576,0.28,0.4925,2,42,44
243,2/25/2011,1,0,2,18,0,5,1,1,0.32,0.2879,0.49,0.4925,7,150,157
244,2/28/2011,1,0,2,10,0,1,1,2,0.52,0.5,0.72,0.4925,13,79,92
245,3/2/2011,1,0,3,18,0,3,1,1,0.46,0.4545,0.23,0.4925,8,193,201
246,3/3/2011,1,0,3,4,0,4,1,1,0.16,0.1212,0.31,0.4925,0,1,1
247,3/6/2011,1,0,3,19,0,0,0,3,0.3,0.2576,1,0.4925,0,11,11
248,3/12/2011,1,0,3,15,0,6,0,1,0.42,0.4242,0.44,0.4925,81,101,182
249,3/19/2011,1,0,3,8,0,6,0,1,0.42,0.4242,0.47,0.4925,11,37,48
250,3/19/2011,1,0,3,14,0,6,0,1,0.5,0.4848,0.31,0.4925,168,144,312
251,4/3/2011,2,0,4,9,0,0,0,1,0.36,0.3182,0.5,0.4925,68,74,142
252,4/4/2011,2,0,4,14,0,1,1,2,0.74,0.6515,0.27,0.4925,47,76,123
253,4/4/2011,2,0,4,18,0,1,1,2,0.72,0.6364,0.23,0.4925,78,308,386
254,4/5/2011,2,0,4,4,0,2,1,3,0.5,0.4848,0.88,0.4925,0,2,2
255,4/5/2011,2,0,4,9,0,2,1,3,0.36,0.3182,0.87,0.4925,2,44,46
256,4/5/2011,2,0,4,14,0,2,1,2,0.36,0.3182,0.57,0.4925,9,67,76
257,4/5/2011,2,0,4,18,0,2,1,1,0.38,0.3939,0.4,0.4925,19,248,267
258,4/6/2011,2,0,4,13,0,3,1,1,0.46,0.4545,0.38,0.4925,29,83,112
259,4/12/2011,2,0,4,9,0,2,1,3,0.46,0.4545,0.94,0.4925,4,50,54
260,4/15/2011,2,0,4,16,1,5,0,1,0.52,0.5,0.55,0.4925,70,173,243
261,4/21/2011,2,0,4,8,0,4,1,2,0.4,0.4091,0.5,0.4925,19,346,365
262,4/27/2011,2,0,4,15,0,3,1,1,0.7,0.6515,0.65,0.4925,18,120,138
263,5/3/2011,2,0,5,12,0,2,1,2,0.68,0.6364,0.61,0.4925,48,169,217
264,5/5/2011,2,0,5,15,0,4,1,1,0.56,0.5303,0.26,0.4925,27,120,147
265,6/2/2011,2,0,6,10,0,4,1,1,0.72,0.6515,0.28,0.4925,33,106,139
266,6/2/2011,2,0,6,16,0,4,1,1,0.8,0.6818,0.22,0.4925,63,255,318
267,6/13/2011,2,0,6,3,0,1,1,1,0.6,0.6061,0.6,0.4925,1,6,7
268,7/12/2011,3,0,7,9,0,2,1,1,0.78,0.7273,0.55,0.4925,27,149,176
269,8/3/2011,3,0,8,6,0,3,1,3,0.72,0.6818,0.66,0.4925,9,101,110
270,8/14/2011,3,0,8,21,0,0,0,3,0.6,0.5455,0.88,0.4925,51,104,155
271,8/14/2011,3,0,8,22,0,0,0,3,0.6,0.5455,0.88,0.4925,14,25,39
272,8/27/2011,3,0,8,12,0,6,0,3,0.66,0.6061,0.83,0.4925,11,65,76
273,10/15/2011,4,0,10,15,0,6,0,1,0.62,0.6212,0.31,0.4925,166,211,377
274,10/19/2011,4,0,10,8,0,3,1,3,0.54,0.5152,0.7,0.4925,10,200,210
275,10/19/2011,4,0,10,9,0,3,1,3,0.52,0.5,0.88,0.4925,17,185,202
276,10/19/2011,4,0,10,10,0,3,1,3,0.52,0.5,0.88,0.4925,14,109,123
277,10/27/2011,4,0,10,20,0,4,1,1,0.42,0.4242,0.67,0.4925,11,171,182
278,10/27/2011,4,0,10,22,0,4,1,1,0.36,0.3182,0.66,0.4925,14,97,111
279,10/29/2011,4,0,10,12,0,6,0,3,0.24,0.197,0.87,0.4925,6,44,50
280,11/4/2011,4,0,11,12,0,5,1,2,0.48,0.4697,0.55,0.4925,44,153,197
281,11/11/2011,4,0,11,11,1,5,0,1,0.34,0.2879,0.42,0.4925,20,150,170
282,11/13/2011,4,0,11,14,0,0,0,2,0.54,0.5152,0.28,0.4925,108,263,371
283,11/23/2011,4,0,11,13,0,3,1,2,0.44,0.4394,0.54,0.4925,12,162,174
